Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1648640859097,56,81,76,21,69,32,64,58,491
1648640859106,50,78,79,18,69,35,63,62,492
1648640859114,54,80,77,20,64,33,64,59,489
1648640859123,53,80,77,18,64,36,59,56,487
1648640859131,51,81,76,16,65,29,62,62,489
1648640859139,52,79,78,20,70,34,62,60,493
1648640859148,55,78,80,21,71,34,62,61,489
1648640859156,53,82,73,17,64,32,62,58,492
1648640859163,49,84,78,20,67,33,63,58,488
1648640859173,52,78,77,20,66,32,62,59,488
1648640859181,52,81,79,18,65,31,64,56,491
1648640859189,52,81,77,19,67,34,64,59,492
1648640859196,52,79,80,22,65,35,64,62,491
1648640859206,53,82,78,20,66,36,62,57,489
1648640859214,53,80,78,20,68,34,64,58,491
1648640859222,51,78,77,18,67,31,61,58,490
1648640859233,52,80,78,18,65,35,64,62,492
1648640859241,49,80,74,18,61,33,63,59,490
1648640859249,51,77,76,16,64,31,61,59,492
1648640859257,53,79,77,16,63,32,63,58,489
1648640859267,49,77,77,19,65,31,61,59,490
1648640859275,51,81,76,17,62,31,59,58,489
